#,Feature,Non-Null,Dtype,Source,Attribute,Unit,Comments,Colab file,Source,WWW,Google Drive path
67,wetb_COR,35813,float64,Weather,Cork,°C (Celsius),Wet Bulb Air Temperature in Cork Airport        ,1_weather-data-prep.ipynb,,,
68,dewpt_COR,35813,float64,Weather,Cork,°C (Celsius),Dew Point Air Temperature in Cork Airport,1_weather-data-prep.ipynb,,,
69,vappr_COR,35813,float64,Weather,Cork,hpa (Hectopascal),Vapour Pressure in Cork Airport,1_weather-data-prep.ipynb,,,
70,rhum_COR,35813,int64,Weather,Cork,%,Relative Humidity in Cork Airport,1_weather-data-prep.ipynb,,,
71,msl_COR,35813,float64,Weather,Cork,hPa (Hectopascal),Mean Sea Level Pressure in Cork Airport,1_weather-data-prep.ipynb,,,
72,ind.3_COR,35813,int64,Weather,Cork,Number/Numeric,Identifier of measurement station in Cork Airport,1_weather-data-prep.ipynb,,,
73,wdsp_COR,35813,int64,Weather,Cork,kt (knot),Mean Hourly Wind Speed in Cork Airport,1_weather-data-prep.ipynb,,,
74,ind.4_COR,35813,int64,Weather,Cork,Number/Numeric,Identifier of measurement station in Cork Airport,1_weather-data-prep.ipynb,,,
75,wddir_COR,35813,int64,Weather,Cork,kt (knot),Predominant Hourly wind Direction in Cork Airport,1_weather-data-prep.ipynb,,,
76,ww_COR,35813,int64,Weather,Cork,Decode in legend,Synop Code Present Weather in Cork Airport,1_weather-data-prep.ipynb,,,
77,w_COR,35813,int64,Weather,Cork,Decode in legend,Synop Code Past Weather in Cork Airport       ,1_weather-data-prep.ipynb,,,
78,sun_COR,35813,float64,Weather,Cork,h (hours),Sunshine duration in Cork Airport,1_weather-data-prep.ipynb,,,
79,vis_COR,35813,object,Weather,Cork,m (meters),Visibility in Cork Airport,1_weather-data-prep.ipynb,,,
80,clht_COR,35813,int64,Weather,Cork,100s feet        ,Cloud Ceiling Height in Cork Airport,1_weather-data-prep.ipynb,,,
81,clamt_COR,35813,int64,Weather,Cork,okta,Cloud Amount in Cork Airport,1_weather-data-prep.ipynb,,,
82,Year,35789,float64,Calculated,from date,YYYY,Year,,,,
83,Month,35789,object,Calculated,from date,MM,Month,,,,
84,DayTime,35789,object,Calculated,from date,,Time stamp,,,,
85,REGION,35789,object,"""ALL""",,,Region/Territory,,,,
86,ActualDemandMW,35771,float64,Eirgrid,Region=ALL,MW,Actual System Demand of Electricity represents actual electricity production.,2_IslandElectricityData_ver2.ipynb,,https://smartgriddashboard.eirgrid.com/#all/demand,
87,FORECAST DEMAND(MW),0,float64,DO NOT USE,,MW,Forecast System Demand of Electricity represents the predicted electricity production required to meet national consumption.,2_IslandElectricityData_ver2.ipynb,,https://smartgriddashboard.eirgrid.com/#all/demand,
88,ForecastWndMW,35785,float64,Eirgrid,Region=ALL,MW,The Forecast Wind Generation represents a prediction of this total electrical output based on forecast weather data observed at regular 6 hour intervals.,2_IslandElectricityData_ver2.ipynb,,http://smartgriddashboard.eirgrid.com/#all/wind,
89,ActualWindMW,35771,float64,Eirgrid,Region=ALL,MW,The Actual Wind Generation represents an estimate of the total electrical output of all wind farms on the system.,2_IslandElectricityData_ver2.ipynb,,http://smartgriddashboard.eirgrid.com/#all/wind,
90,ActualGenerationMW,35771,float64,Eirgrid,Region=ALL,MW,"System Generation represents the total electricity production on the system, including system losses, but net of generators' requirements. It includes an estimate of the power produced by wind generators, but excludes some non-centrally monitored generation (e.g. small scale CHP and microgeneration).",2_IslandElectricityData_ver2.ipynb,,http://smartgriddashboard.eirgrid.com/#all/generation,
91,hour,35789,float64,Calculated,from date,0-24,Time represented by hour,2_IslandElectricityData_ver2.ipynb,,,
92,isweekday,35789,object,Calculated,from date,1 (True) or 0 (False),Flag if the daty is during the week of weekend,2_IslandElectricityData_ver2.ipynb,,,
93,month,35789,float64,Calculated,from date,January-December,Name of calendar month,2_IslandElectricityData_ver2.ipynb,,,
94,year,35789,float64,Calculated,from date,YYYY,Year,2_IslandElectricityData_ver2.ipynb,,,
95,NetTotal_MW,35771,float64,Eirgrid,,megawatt (MW),Net Total Megawatt,2_IslandElectricityData_ver2.ipynb,,http://smartgriddashboard.eirgrid.com/#all/interconnection,
96,EWIC_MW,35770,float64,Eirgrid,Region=ALL,megawatt (MW),"The East West Interconnector (EWIC) connects Ireland and Wales, between Deeside in North Wales and Woodland, Co. Meath in Ireland.",2_IslandElectricityData_ver2.ipynb,,http://smartgriddashboard.eirgrid.com/#all/interconnection,
97,MOYLE_MW,35771,float64,Eirgrid,Region=ALL,megawatt (MW),"The Moyle Interconnector links the electricity grids of Northern Ireland and Scotland through submarine cables running between converter stations at Ballycronan More in Islandmagee, Co. Antrim and Auchencrosh in Ayrshire, Scotland. The link has a capacity of 500MW.",2_IslandElectricityData_ver2.ipynb,,http://smartgriddashboard.eirgrid.com/#all/interconnection,
98,WindGenPercent,35771,float64,Calculated,,%,Wind Generation - percent of Total Generation,2_IslandElectricityData_ver2.ipynb,,,
NEW V4,TotalWindCapacityMW,,float64,Eirgrid System-and-Renewable-Data-Summary-Report,,MW,Total Wind Capacity installed in the island of Ireland,2_IslandElectricityData_ver2.ipynb,,https://www.eirgridgroup.com/site-files/library/EirGrid/System-and-Renewable-Data-Summary-Report.xlsx,
